street_name,chars
השקמה עפרי,ה ש ק מ ה   ע פ ר י
ההדס צורן,ה ה ד ס   צ ו ר ן
חטיבת קרייתי,ח ט י ב ת   ק ר י י ת י
אסבס דרום,א ס ב ס   ד ר ו ם
המצפה,ה מ צ פ ה
"אזור התעשיה צ""י","א ז ו ר   ה ת ע ש י ה   צ "" י"
כץ בן ציון,כ ץ   ב ן   צ י ו ן
בקי רוברטו,ב ק י   ר ו ב ר ט ו
מעלה הורדים,מ ע ל ה   ה ו ר ד י ם
עין אלטביל,ע י ן   א ל ט ב י ל
דיר אל ארמן,ד י ר   א ל   א ר מ ן
אלקאפלה,א ל ק א פ ל ה
חוש אל עגלוני,ח ו ש   א ל   ע ג ל ו נ י
מעגלי הרים לוין,מ ע ג ל י   ה ר י ם   ל ו י ן
פנץ,פ נ ץ
מול חב חשמל,מ ו ל   ח ב   ח ש מ ל
אל-טארק,א ל - ט א ר ק
בלום לודביג,ב ל ו ם   ל ו ד ב י ג
טרכטנברג,ט ר כ ט נ ב ר ג
ואדי אל מרבאע,ו א ד י   א ל   מ ר ב א ע
הלוי שלמה מומו,ה ל ו י   ש ל מ ה   מ ו מ ו
אלקנדי,א ל ק נ ד י
צרפת דרך,צ ר פ ת   ד ר ך
דה פיליפ אדיס,ד ה   פ י ל י פ   א ד י ס
מחנות העולים,מ ח נ ו ת   ה ע ו ל י ם
קטאין אלשומר,ק ט א י ן   א ל ש ו מ ר
רוזובסקי שמואל,ר ו ז ו ב ס ק י   ש מ ו א ל
שלמה מכלוף אורגד,ש ל מ ה   מ כ ל ו ף   א ו ר ג ד
תרסט שדרות,ת ר ס ט   ש ד ר ו ת
אלעאסי,א ל ע א ס י
בת ים,ב ת   י ם
מלון מיראג',מ ל ו ן   מ י ר א ג '
מלון תמיר,מ ל ו ן   ת מ י ר
מוריה מלון,מ ו ר י ה   מ ל ו ן
חוש א גוזלאן,ח ו ש   א   ג ו ז ל א ן
שכ סויסה,ש כ   ס ו י ס ה
חארס,ח א ר ס
פרייגרזון,פ ר י י ג ר ז ו ן
לקלרק,ל ק ל ר ק
מקס נורדאו,מ ק ס   נ ו ר ד א ו
חבד סמטה,ח ב ד   ס מ ט ה
עליה חדשה,ע ל י ה   ח ד ש ה
מבוא בנין,מ ב ו א   ב נ י ן
אלמוג נוה מונוסון,א ל מ ו ג   נ ו ה   מ ו נ ו ס ו ן
אל - ח'טאף,א ל   -   ח ' ט א ף
יעקב אבן חן,י ע ק ב   א ב ן   ח ן
א טור הר זיתים,א   ט ו ר   ה ר   ז י ת י ם
שיך אחמד,ש י ך   א ח מ ד
גרנד יהלום,ג ר נ ד   י ה ל ו ם
ימאים,י מ א י ם
אחים עוקשי,א ח י ם   ע ו ק ש י
פורסט,פ ו ר ס ט
אלנקאר,א ל נ ק א ר
אל-סידה סארה,א ל - ס י ד ה   ס א ר ה
מוריסטן,מ ו ר י ס ט ן
זעקוקה,ז ע ק ו ק ה
וורשה,ו ו ר ש ה
ביח פוריה,ב י ח   פ ו ר י ה
אריה דיסנציק,א ר י ה   ד י ס נ צ י ק
עריד אלשאמס,ע ר י ד   א ל ש א מ ס
תרצה,ת ר צ ה
ש ערוני כא,ש   ע ר ו נ י   כ א
מעון ילד,מ ע ו ן   י ל ד
שיירת הר הצופים,ש י י ר ת   ה ר   ה צ ו פ י ם
שמש דוד,ש מ ש   ד ו ד
פחר אלדין אלמעני,פ ח ר   א ל ד י ן   א ל מ ע נ י
גלנץ,ג ל נ ץ
השישה עשר,ה ש י ש ה   ע ש ר
בן גמלה יהוש,ב ן   ג מ ל ה   י ה ו ש
אלפסיה זהרה,א ל פ ס י ה   ז ה ר ה
שדרת האורנים,ש ד ר ת   ה א ו ר נ י ם
משעול הרותם,מ ש ע ו ל   ה ר ו ת ם
שכ רמת אליה,ש כ   ר מ ת   א ל י ה
אכסנית אביב,א כ ס נ י ת   א ב י ב
הגשר החי,ה ג ש ר   ה ח י
אל ספאח,א ל   ס פ א ח
ש אילן גת,ש   א י ל ן   ג ת
משעול הירקון,מ ש ע ו ל   ה י ר ק ו ן
אל-ג'דוע אל-עלוי,א ל - ג ' ד ו ע   א ל - ע ל ו י
אל מנקוש,א ל   מ נ ק ו ש
בר שאול,ב ר   ש א ו ל
דרך רודיק שמעון,ד ר ך   ר ו ד י ק   ש מ ע ו ן
שכ יזרעליה,ש כ   י ז ר ע ל י ה
החומה,ה ח ו מ ה
אל-קאדסיה,א ל - ק א ד ס י ה
כפר רוזנולד זרעית,כ פ ר   ר ו ז נ ו ל ד   ז ר ע י ת
בני בתירא,ב נ י   ב ת י ר א
ב יוסףישיבה,ב   י ו ס ף י ש י ב ה
הקליר,ה ק ל י ר
עין חי ב קד,ע י ן   ח י   ב   ק ד
מושב קלחים,מ ו ש ב   ק ל ח י ם
ב חנינה קלנד,ב   ח נ י נ ה   ק ל נ ד
סלואן עליונ,ס ל ו א ן   ע ל י ו נ
שדרות ושינגטון,ש ד ר ו ת   ו ש י נ ג ט ו ן
שמואל שניצר,ש מ ו א ל   ש נ י צ ר
ככר טסית,כ כ ר   ט ס י ת
מלון חוף אלמוג,מ ל ו ן   ח ו ף   א ל מ ו ג
נווה שלום,נ ו ו ה   ש ל ו ם
דידס,ד י ד ס
ח'אלית אל-עדס,ח ' א ל י ת   א ל - ע ד ס
נוף המושבה,נ ו ף   ה מ ו ש ב ה
שכ שחמון,ש כ   ש ח מ ו ן
צהל שדרות,צ ה ל   ש ד ר ו ת
כפר שמריהו,כ פ ר   ש מ ר י ה ו
ב אבות מטלון,ב   א ב ו ת   מ ט ל ו ן
סמטת דגניה ב,ס מ ט ת   ד ג נ י ה   ב
שביל הדוכיפת,ש ב י ל   ה ד ו כ י פ ת
לטרון,ל ט ר ו ן
ככר סיירת שקד,כ כ ר   ס י י ר ת   ש ק ד
נווה גרנות,נ ו ו ה   ג ר נ ו ת
אברהם יפהן,א ב ר ה ם   י פ ה ן
מ. ק.,מ .   ק .
אריה גרשוני,א ר י ה   ג ר ש ו נ י
גן רחביה,ג ן   ר ח ב י ה
נכון שלמה,נ כ ו ן   ש ל מ ה
נתיב יותם,נ ת י ב   י ו ת ם
שרי המאה,ש ר י   ה מ א ה
דרך מעלה אדומים,ד ר ך   מ ע ל ה   א ד ו מ י ם
אל-ג'דאוול,א ל - ג ' ד א ו ו ל
מכלל יופי,מ כ ל ל   י ו פ י
אפרים אלנקווה,א פ ר י ם   א ל נ ק ו ו ה
נבון יצחק,נ ב ו ן   י צ ח ק
זאב שלנג,ז א ב   ש ל נ ג
אל מושתרי,א ל   מ ו ש ת ר י
שדרות היוגב,ש ד ר ו ת   ה י ו ג ב
ברזל,ב ר ז ל
שדרות הרצל,ש ד ר ו ת   ה ר צ ל
מעבר המתלה,מ ע ב ר   ה מ ת ל ה
אנפה מכבים רעות,א נ פ ה   מ כ ב י ם   ר ע ו ת
ככר כט בנובמבר,כ כ ר   כ ט   ב נ ו ב מ ב ר
נחשולים,נ ח ש ו ל י ם
עומר אל כתא,ע ו מ ר   א ל   כ ת א
תמנע,ת מ נ ע
ויניק,ו י נ י ק
אלד'הרה,א ל ד ' ה ר ה
דון יוסף הנש,ד ו ן   י ו ס ף   ה נ ש
מרכז הנופש,מ ר כ ז   ה נ ו פ ש
אבו קורינאת שבט,א ב ו   ק ו ר י נ א ת   ש ב ט
עקבת א סריה,ע ק ב ת   א   ס ר י ה
פרומצנקו,פ ר ו מ צ נ ק ו
אלמגארה,א ל מ ג א ר ה
לוחמי הנגב,ל ו ח מ י   ה נ ג ב
דון יוסף,ד ו ן   י ו ס ף
כורש המלך,כ ו ר ש   ה מ ל ך
ארד אל אסמה,א ר ד   א ל   א ס מ ה
אמדר,א מ ד ר
משעול הגדרון,מ ש ע ו ל   ה ג ד ר ו ן
שכ מערבי,ש כ   מ ע ר ב י
טכורש,ט כ ו ר ש
שכ יונתן,ש כ   י ו נ ת ן
מצודת שוני,מ צ ו ד ת   ש ו נ י
חיים נחמן ביאליק,ח י י ם   נ ח מ ן   ב י א ל י ק
האילה שביל,ה א י ל ה   ש ב י ל
מלון טיראן,מ ל ו ן   ט י ר א ן
כיכר גיורא לוטן,כ י כ ר   ג י ו ר א   ל ו ט ן
אלשייך,א ל ש י י ך
עין אלחלווה,ע י ן   א ל ח ל ו ו ה
חגג אהרון,ח ג ג   א ה ר ו ן
פרופ' ברגמן שמואל,פ ר ו פ '   ב ר ג מ ן   ש מ ו א ל
עטרת זהב,ע ט ר ת   ז ה ב
צור,צ ו ר
אבו גיועד,א ב ו   ג י ו ע ד
אל-וסים,א ל - ו ס י ם
ד'הרת אלביר-דליה,ד ' ה ר ת   א ל ב י ר - ד ל י ה
לביטוב,ל ב י ט ו ב
רחבת הר הצופים,ר ח ב ת   ה ר   ה צ ו פ י ם
ש ערוניא א,ש   ע ר ו נ י א   א
תמסח,ת מ ס ח
יובלים,י ו ב ל י ם
ריספלד פרדס,ר י ס פ ל ד   פ ר ד ס
בן עפן,ב ן   ע פ ן
עיר השמש,ע י ר   ה ש מ ש
מנזר צרפתי,מ נ ז ר   צ ר פ ת י
החשמונא מתתי,ה ח ש מ ו נ א   מ ת ת י
עמנואל מד,ע מ נ ו א ל   מ ד
הלויים,ה ל ו י י ם
פסגת זאב מערב,פ ס ג ת   ז א ב   מ ע ר ב
אלדידבה,א ל ד י ד ב ה
ערמון,ע ר מ ו ן
"אלה מ""ר","א ל ה   מ "" ר"
ארגוב סשה,א ר ג ו ב   ס ש ה
טיילת חרמון,ט י י ל ת   ח ר מ ו ן
זיגורד,ז י ג ו ר ד
שכ משק עזר,ש כ   מ ש ק   ע ז ר
אסואן,א ס ו א ן
ורטהימר,ו ר ט ה י מ ר
נשרי צבי,נ ש ר י   צ ב י
אהל שלמה,א ה ל   ש ל מ ה
מבוא הר שפר,מ ב ו א   ה ר   ש פ ר
אליעזר לבנה,א ל י ע ז ר   ל ב נ ה
משכנות ב ק,מ ש כ נ ו ת   ב   ק
החסידים,ה ח ס י ד י ם
מלון גת רמון,מ ל ו ן   ג ת   ר מ ו ן
אדאעה אל,א ד א ע ה   א ל
שכ בילו,ש כ   ב י ל ו
משעול נופים,מ ש ע ו ל   נ ו פ י ם
הרב יעקב בן חמו,ה ר ב   י ע ק ב   ב ן   ח מ ו
מעלה צפת,מ ע ל ה   צ פ ת
שדרות טרפון,ש ד ר ו ת   ט ר פ ו ן
"משעול כי""ח","מ ש ע ו ל   כ י "" ח"
מצדים,מ צ ד י ם
קהלת רוגה,ק ה ל ת   ר ו ג ה
אשדות יעקב -איחוד,א ש ד ו ת   י ע ק ב   - א י ח ו ד
בית אליהו,ב י ת   א ל י ה ו
האדמור מבעלז,ה א ד מ ו ר   מ ב ע ל ז
אסי,א ס י
ש יעל,ש   י ע ל
סמ אתרוג,ס מ   א ת ר ו ג
הרב חורי חיים,ה ר ב   ח ו ר י   ח י י ם
רמת גאולה,ר מ ת   ג א ו ל ה
רמות מאיר,ר מ ו ת   מ א י ר
בעל המחשבות,ב ע ל   ה מ ח ש ב ו ת
מעב נפוליאון,מ ע ב   נ פ ו ל י א ו ן
אלסבור,א ל ס ב ו ר
אל-מנטאר,א ל - מ נ ט א ר
בית נקופה החדשה,ב י ת   נ ק ו פ ה   ה ח ד ש ה
חלת אלמרדאוי,ח ל ת   א ל מ ר ד א ו י
אום רושרוש,א ו ם   ר ו ש ר ו ש
סיריאן באזר,ס י ר י א ן   ב א ז ר
שרים אליהו הרב,ש ר י ם   א ל י ה ו   ה ר ב
אליהו שמאע,א ל י ה ו   ש מ א ע
ש קליפורניה,ש   ק ל י פ ו ר נ י ה
אל ח'ילוה,א ל   ח ' י ל ו ה
משעול חנקין,מ ש ע ו ל   ח נ ק י ן
מנדלינא,מ נ ד ל י נ א
בנימין אקצין,ב נ י מ י ן   א ק צ י ן
סמ הר צניפים,ס מ   ה ר   צ נ י פ י ם
הר עוזרר,ה ר   ע ו ז ר ר
אל ג'בל,א ל   ג ' ב ל
ש ח משוחררי,ש   ח   מ ש ו ח ר ר י
לוי יפה,ל ו י   י פ ה
קיציס,ק י צ י ס
מצודת ביתר,מ צ ו ד ת   ב י ת ר
עלבון,ע ל ב ו ן
נאגרה ישראל,נ א ג ר ה   י ש ר א ל
רימון,ר י מ ו ן
אל - פאראבי,א ל   -   פ א ר א ב י
אל פודה,א ל   פ ו ד ה
בלוך,ב ל ו ך
ערד יוסף,ע ר ד   י ו ס ף
זליבנסקי,ז ל י ב נ ס ק י
כהן מיכאל,כ ה ן   מ י כ א ל
נתיב הדרור,נ ת י ב   ה ד ר ו ר
הוגו ברגמן,ה ו ג ו   ב ר ג מ ן
השותלים,ה ש ו ת ל י ם
איתמר,א י ת מ ר
סימונובסקי משה,ס י מ ו נ ו ב ס ק י   מ ש ה
נסים יצחק הרב,נ ס י ם   י צ ח ק   ה ר ב
יוסף אלישיב,י ו ס ף   א ל י ש י ב
עזאר,ע ז א ר
כיכר ארצות הברית,כ י כ ר   א ר צ ו ת   ה ב ר י ת
שכ ורדיה,ש כ   ו ר ד י ה
אירביד מד,א י ר ב י ד   מ ד
שכ יזרעאלה,ש כ   י ז ר ע א ל ה
משעול העוגן,מ ש ע ו ל   ה ע ו ג ן
ברנבום,ב ר נ ב ו ם
אל פשה חמם,א ל   פ ש ה   ח מ ם
גני סמדר,ג נ י   ס מ ד ר
נתיבי המפרץ,נ ת י ב י   ה מ פ ר ץ
אל-שועראא,א ל - ש ו ע ר א א
שכ אקדמאים,ש כ   א ק ד מ א י ם
אלע'ד,א ל ע ' ד
סייג חואטו,ס י י ג   ח ו א ט ו
קהלת ביאלסטוק,ק ה ל ת   ב י א ל ס ט ו ק
שד שלמה המלך,ש ד   ש ל מ ה   ה מ ל ך
כיכר רובי,כ י כ ר   ר ו ב י
אל גולן,א ל   ג ו ל ן
בר-גיורא,ב ר - ג י ו ר א
מרכז-אגבריה ומחג'נה,מ ר כ ז - א ג ב ר י ה   ו מ ח ג ' נ ה
תל שומר ברנר,ת ל   ש ו מ ר   ב ר נ ר
גלים,ג ל י ם
שייח' ג'ראח,ש י י ח '   ג ' ר א ח
שפת כהן,ש פ ת   כ ה ן
נוף הגלעד,נ ו ף   ה ג ל ע ד
נווה הלל,נ ו ו ה   ה ל ל
משעול גרשון,מ ש ע ו ל   ג ר ש ו ן
שכ ד אזבסטון,ש כ   ד   א ז ב ס ט ו ן
צידון סמ,צ י ד ו ן   ס מ
ג נשר עמידר,ג   נ ש ר   ע מ י ד ר
הלילית,ה ל י ל י ת
"הכלנית ג""י","ה כ ל נ י ת   ג "" י"
מוהליבר,מ ו ה ל י ב ר
יוסף שרטוב,י ו ס ף   ש ר ט ו ב
אברהם בנבנישתי,א ב ר ה ם   ב נ ב נ י ש ת י
"החבצלת מ""ר","ה ח ב צ ל ת   מ "" ר"
איסר נתנזון,א י ס ר   נ ת נ ז ו ן
אל הייב,א ל   ה י י ב
שכונת יצחק נבון,ש כ ו נ ת   י צ ח ק   נ ב ו ן
נוה ויצמן,נ ו ה   ו י צ מ ן
פרופ' מישל רבל,פ ר ו פ '   מ י ש ל   ר ב ל
גדרון משעול,ג ד ר ו ן   מ ש ע ו ל
קהלת ורשה,ק ה ל ת   ו ר ש ה
מתחם גלילות,מ ת ח ם   ג ל י ל ו ת
אבו עמאר עי רקיק,א ב ו   ע מ א ר   ע י   ר ק י ק
כחלית ההרים,כ ח ל י ת   ה ה ר י ם
אילת החן,א י ל ת   ה ח ן
ש פגי סנהדר,ש   פ ג י   ס נ ה ד ר
אל מעתסם,א ל   מ ע ת ס ם
רמת השופט,ר מ ת   ה ש ו פ ט
גוזיקוף,ג ו ז י ק ו ף
שדרת הבשן,ש ד ר ת   ה ב ש ן
הרליץ,ה ר ל י ץ
הרב גבאי,ה ר ב   ג ב א י
הליבנית,ה ל י ב נ י ת
שד קציר אהרון,ש ד   ק צ י ר   א ה ר ו ן
"חצב ג""י","ח צ ב   ג "" י"
חנן,ח נ ן
רח כה ש עיר,ר ח   כ ה   ש   ע י ר
צוויג סטפן,צ ו ו י ג   ס ט פ ן
מימון סמ,מ י מ ו ן   ס מ
ניסן אברהם,נ י ס ן   א ב ר ה ם
הקלע משעול,ה ק ל ע   מ ש ע ו ל
דרך אשכול,ד ר ך   א ש כ ו ל
דרך ארץ,ד ר ך   א ר ץ
ש רמות ב',ש   ר מ ו ת   ב '
אלגדוע אלעלוי,א ל ג ד ו ע   א ל ע ל ו י
ביר אל-מכסור,ב י ר   א ל - מ כ ס ו ר
הריח,ה ר י ח
שדרות ארקיע,ש ד ר ו ת   א ר ק י ע
אבן טולון,א ב ן   ט ו ל ו ן
אלוף נחמיה תמרי,א ל ו ף   נ ח מ י ה   ת מ ר י
הוז שניאור,ה ו ז   ש נ י א ו ר
מצפה חפץ,מ צ פ ה   ח פ ץ
מל מפגש אבות,מ ל   מ פ ג ש   א ב ו ת
יהודה לוי,י ה ו ד ה   ל ו י
ש גורן,ש   ג ו ר ן
צרצור,צ ר צ ו ר
אל חדאד,א ל   ח ד א ד
כיכר עגור,כ י כ ר   ע ג ו ר
סח'נין,ס ח ' נ י ן
ש עוב ביליסן,ש   ע ו ב   ב י ל י ס ן
עין זיק,ע י ן   ז י ק
נילי שדרות,נ י ל י   ש ד ר ו ת
זאב גולד,ז א ב   ג ו ל ד
רא'ס אל-טלעה,ר א ' ס   א ל - ט ל ע ה
זלצברגר מכבי,ז ל צ ב ר ג ר   מ כ ב י
שדרות המלך דוד,ש ד ר ו ת   ה מ ל ך   ד ו ד
סמטת התות,ס מ ט ת   ה ת ו ת
ישיבת הר ציון,י ש י ב ת   ה ר   צ י ו ן
לוס אנגליס,ל ו ס   א נ ג ל י ס
פנת הרצל,פ נ ת   ה ר צ ל
בית אלפא א ק,ב י ת   א ל פ א   א   ק
הגנים ב שוחט,ה ג נ י ם   ב   ש ו ח ט
אלואד,א ל ו א ד
מבוא הקריה,מ ב ו א   ה ק ר י ה
ש נוה אמירים,ש   נ ו ה   א מ י ר י ם
רמז ש עובדי,ר מ ז   ש   ע ו ב ד י
מלר צבי,מ ל ר   צ ב י
ככר בלהה,כ כ ר   ב ל ה ה
ש פאגי ג שאל,ש   פ א ג י   ג   ש א ל
הוז דוב שד,ה ו ז   ד ו ב   ש ד
ק בנימין מעב,ק   ב נ י מ י ן   מ ע ב
ככר ב' בנובמבר,כ כ ר   ב '   ב נ ו ב מ ב ר
עמל ב אברמוב,ע מ ל   ב   א ב ר מ ו ב
מעלות הרב מטשכנוב,מ ע ל ו ת   ה ר ב   מ ט ש כ נ ו ב
אל-ראביא,א ל - ר א ב י א
מבואות ים,מ ב ו א ו ת   י ם
מרג אל זוהור,מ ר ג   א ל   ז ו ה ו ר
עראקי שלמה,ע ר א ק י   ש ל מ ה
אביב נעורים,א ב י ב   נ ע ו ר י ם
שכ נוה פנחס,ש כ   נ ו ה   פ נ ח ס
אטרש שבט,א ט ר ש   ש ב ט
אלקובע,א ל ק ו ב ע
פרס ישעיהו,פ ר ס   י ש ע י ה ו
הרב כהן שלמה,ה ר ב   כ ה ן   ש ל מ ה
הגלב,ה ג ל ב
נחל צבעון,נ ח ל   צ ב ע ו ן
רמת פנקס ש,ר מ ת   פ נ ק ס   ש
אברהם רקנטי,א ב ר ה ם   ר ק נ ט י
שדרות ארלוזורוב,ש ד ר ו ת   א ר ל ו ז ו ר ו ב
חוש אל באן,ח ו ש   א ל   ב א ן
המצפון,ה מ צ פ ו ן
אבא קובנר,א ב א   ק ו ב נ ר
שכ סחנה ד,ש כ   ס ח נ ה   ד
ש רמות דוד,ש   ר מ ו ת   ד ו ד
אלוארי,א ל ו א ר י
אמסטר,א מ ס ט ר
הזכוכית,ה ז כ ו כ י ת
בוני החומה,ב ו נ י   ה ח ו מ ה
אפשטיין  נחום,א פ ש ט י י ן     נ ח ו ם
מעונות בר אילן,מ ע ו נ ו ת   ב ר   א י ל ן
אל - כלה,א ל   -   כ ל ה
ח'אלית אל-תות,ח ' א ל י ת   א ל - ת ו ת
עק שיח לולו,ע ק   ש י ח   ל ו ל ו
ש שטרית,ש   ש ט ר י ת
רבי חנניה בן עקשיא,ר ב י   ח נ נ י ה   ב ן   ע ק ש י א
ש גב הפועל,ש   ג ב   ה פ ו ע ל
בר-יהודה,ב ר - י ה ו ד ה
דרב אל נאסרה,ד ר ב   א ל   נ א ס ר ה
יפה נוף ש ע,י פ ה   נ ו ף   ש   ע
"מבוא יהל""ם","מ ב ו א   י ה ל "" ם"
כיכר המורה ענטבי,כ י כ ר   ה מ ו ר ה   ע נ ט ב י
מועדון הים התיכון,מ ו ע ד ו ן   ה י ם   ה ת י כ ו ן
אלטשולר דוד,א ל ט ש ו ל ר   ד ו ד
"אדמו""ר מרוזין","א ד מ ו "" ר   מ ר ו ז י ן"
וידרא,ו י ד ר א
שטרסר,ש ט ר ס ר
שכ נחלת שמעון,ש כ   נ ח ל ת   ש מ ע ו ן
אל-מוסאוה,א ל - מ ו ס א ו ה
רח תיח,ר ח   ת י ח
נאות מכבים,נ א ו ת   מ כ ב י ם
חזון איש,ח ז ו ן   א י ש
סוגיהרה סמפו,ס ו ג י ה ר ה   ס מ פ ו
הדקל מגדל,ה ד ק ל   מ ג ד ל
אלענאן,א ל ע נ א ן
הצוקים סמטה,ה צ ו ק י ם   ס מ ט ה
קאמפן,ק א מ פ ן
חייל האלמוני,ח י י ל   ה א ל מ ו נ י
אל כסראת,א ל   כ ס ר א ת
יעל נתיב,י ע ל   נ ת י ב
דוד המלך מל,ד ו ד   ה מ ל ך   מ ל
ראוס אלג'בל,ר א ו ס   א ל ג ' ב ל
גיורא יוספטל,ג י ו ר א   י ו ס פ ט ל
שדרת האגמים,ש ד ר ת   ה א ג מ י ם
צאייג מקסימום,צ א י י ג   מ ק ס י מ ו ם
ג'בל אלערב,ג ' ב ל   א ל ע ר ב
אל-גמל,א ל - ג מ ל
ש גליל ים,ש   ג ל י ל   י ם
אלמדראס,א ל מ ד ר א ס
תאנה מכבים רעות,ת א נ ה   מ כ ב י ם   ר ע ו ת
"בי""ס שדה חרמון","ב י "" ס   ש ד ה   ח ר מ ו ן"
מע עמישב,מ ע   ע מ י ש ב
שד הבשן,ש ד   ה ב ש ן
שכ נווה ספיר,ש כ   נ ו ו ה   ס פ י ר
ח'לת אלסבעה,ח ' ל ת   א ל ס ב ע ה
אסתר וינדמן,א ס ת ר   ו י נ ד מ ן
בינט מקס,ב י נ ט   מ ק ס
משעול האסיף,מ ש ע ו ל   ה א ס י ף
אלבט,א ל ב ט
אל אחלאס,א ל   א ח ל א ס
דרך השרון,ד ר ך   ה ש ר ו ן
